* Log file for the circuit /home/frathoso/Dropbox/ASpring_2014/Capstone/atpg/benchmarks/s5378.bench.
test   86: 1100110000110101000010001100011000101000111001010111010100011100010001110110001011110101010001110010100100000001110101000000001100000010011010111100101111010101101011001111101000011010111110100001001000110010000010 001011111011001111001011100000000000011110010110101100110011010000000101010000111000010110011011100010101100000000000000100000000000011100011110100011100110101001100100000011110010011011010011110111000001100110111010100000000000    2 faults detected
test   87: 1100001110001010110010111111001110011100111011110100010101000100001101011101101111110011000111010010000000101111101111001101010100101001011100100111011010101111010000001100111100111001110001100010001101100000000100 111010001111100111000010100000000001111000000111110011001111011010100101011000000111100001111001100011001100000000000000100000000011000011101111100011100111101011100100001001110111001001110000100110000110100010100010000000000000    4 faults detected
test   88: 1111110101011110000010011001100001100001010101110100110101011111100001100111011100101010111100000010110011001000110100100101010100011101000110010011001011001011110110110000010001001110111011000110100101100011000001 110111101011011101111100000000000001111111011111111110111001110100100101110111110011110110111101000001000100000000000000100000000000111011110111100001100110100111110000001000000100000001110110001101000010110001000101000000000000    3 faults detected
test   89: 0010010010000000011100001100010011011001101011111000111100100001010001000110101111111000111101010100001101011101010100100001101100011100000110001010011100100000011000000101000100111110010010000100011001101100101001 011010111011011001001100000000000000000111011101100100010000101000100000101010000000001100011011100001101000000000000000000000000000000000001110100001001101111011000101001000000011001001010100000001010111100101000011000000000000    7 faults detected
test   90: 1111101110000111100001101011001010111110101100111101000100011000111000101000100101011000011111100101000101011111111001110111011001100101000000010100110000010010110111010010111000010000101111110110101010001111111010 110100111101111100101101110000000001100010000111111011101101111110000101111110001010110011101010100000100110000000000101000000000000000110111110100011100111011001010101100110100100011001110011100110101000101111000111100000000000    6 faults detected
test   91: 0100011101010101101011000000011111100011010010110010100110101010011000110100110001010111110111111001111110100011100111101111001111001000000000000110100001111101010100111000101011000010001111100100111000000000111100 000111111111010110111110100000000000011111010101110111011100010010100100010001101010010101111011000001100010000000000000000000000000110110010110100001100100010000100001000001100101000001110010001111111001001000101100101000000000    1 faults detected
test   92: 1101010101110111011000001001000110101110010001101010111111100011101000110001110000110001101010011111100000111000111011100001111100011110011100001101000100011000110100101000000001010100100010001111101101100101100100 101011011111001001000100000000000001111111011101100110011011010100111001010110000000001100110001100000000100000000000010100000000010000000001110100001000110001110000001000000000101000001110110000101101111111100011100000001000000    3 faults detected
test   93: 1001100110100100000001001111011111001101011100000001100111011110010000110100000011001110101111000110011110001010110010000001100101010111101011111001110111101101101010010011001101001011000111101000101000001111000000 010111111011100001011101000000000000000111011100101010101011001110000101001110010000011010110011100011100100000000000000000000000000001000010111100011100101100011010000001010000010001001010000011011011100101001001011100000000000    9 faults detected
test   94: 0110011011100111110110010100010110110011111000000110010111001100010110001110110001111011101100111001011110101111000100101000110011010010011010101101001100111000000011010110101110001001010111111000001101010000010111 000111011111111000010111000000000000011100010011100101010100111000100100111010000000001101010000100011101110111111100110000000000010000000000111111000000001010100100101000011010110001001110000111011010101001000001101000010000000    6 faults detected
test   95: 0110101110110010010000010101001001011111000011001101110101110010100000100011010111111100001101011111000101100100001000101111101001010111101011110111001011100110001001111101110111000010010110010000000000100000000101 100111111111110100111001000000000001111111000100101011101100111010000100111010110100100011111110000011101110000000000010000000000001011000100111100011000111001010000000001010000011000001010100001111110100101111000000100000000000    3 faults detected
test   96: 1010001110001110111001101000011010001010100110101111101010000010011111011010000100011000110111000111010001101110001110010110101001011000101000111111101010100001000110001110100101010101011111010011000101011000110111 011011011111100110110010000000000000011111010110110011001111101010011111101000000111110001111100000010001110000000000000100000000011000011110111100011000111000011010000001001000100001001110100000101110001111101100110000000000000    6 faults detected
test   97: 0011010101111110100110011100000111101000001010101001111100011110011011111100011001000011010001001111011111000000111100111010001001011001000010001010011101001101111110001111001110110101001101010110011001111110100011 011011111011000110111010000000000000000111011111100110011010100110000000100100000000000100111010000001001010000000000100000000000000000000000110100011000101000010010001001001000000001001010000000001111000100010111100000100000000    7 faults detected
test   98: 1111001010000100111111111000101110110010011110011010010000011111010111101001010101111100100000111001111111101100111011011100001010110001101010110001110100000011011101110110100100100110001110001001011111100000001010 100110111011010111110011000000000001111100010110110001000101111110100111111101111111010001000001000010101000000000000100000000000011111111010111100011000100010100100101101011010001000001110101101000111000001101110101000000000000    4 faults detected
test   99: 0110000000000011110010011100100010110100001111111110100010110101000010101011101111110011001100110001111011000011111010100000101011001110110011100101101110111001111001011111010011111000110110001100110110101000011101 100111111011010010010000100000000000000011011101100000000000110010111110110000110000001000000101100001100010000000000010100000000010011000000110100011100100010101100000000000100011001001010110000011000101000010000010100000010000    2 faults detected
test  100: 0101000111001110111111011011101000100010111000111111100010010000100011100101111000111100001100101010100111110011010010011000000001111101001110000101000000001101110110111011111000011110011111001010001110011001010100 110011111011100110011000000000000000011100000101110010001010011110011110011101010111110000100001100011001110000000000101000000000001101011110111100011000110101100110101001000010100000001010010100100010000110111001100100000000000    5 faults detected
test  101: 0100110111100010011100110111111011000010110011010101001010111101100001000100111010011000101101000101001000011111000010011000011100100000111100001011011000000001101101101110011101001001101010100100101110110010111001 101010111111000000000111100000000000011000011101111110111010011010000110011011010110111110101001100001100110000000000000100000000011101010111111100001100101011011010001001011100001000001110000001110001011110101001000100001000000    3 faults detected
test  102: 1010001000110101110010010001111011111101111100110110101100110001001011001010011000110101001010110110100101100111110101011111110011101100100010001110011000011001100110001110001111001010101101101001101001111101010100 011010111011000101011100110101011100000001011101110001000111100011100101100011111110010001010011100010100100000000000000000000000001111110010111100001100110101101000001000000100100001001110000001010001001010110011100000000000000   19 faults detected
test  103: 1010001101001101000001010111001111101100010000001111011011110100010010111100101011111111011001100010010001000011111101101101010010000010000111111010011000011001101100010101010000010001101110001000001101111010001001 000111111011000111011011101100101000011111011110100011001111100010000011100001001001010001110001100011101110000000000101100000000000100101010110100011100111100001110001000011100001011001010110000111101001000010011011000000000000   10 faults detected
test  104: 1000001101110011011110110011001100001001100101010100011110110001000111100011110000010110100111111011100110110101100100110000010111001100011100001000100100001001110000110101011100111110110011110100000110010011101111 100010111111110010100000100000000000000110011001100011001101000010100001000001111100101001101111000001101110000000000000000000000011111100101110100011000010001000100101101100100111000001010000100001000111011001101101100001000000    2 faults detected
test  105: 0010111001110011100110110111111110011110011010100110000100011010100101001100101001101010001011011011101111011010001001100111100110111000001010101001100101111111101001110101011110101000110010111111010000110000010110 000001111101101000111110000000000001111110011111111101110110100000100100100011111010111111010110000000001010000000000100000000000000111110110111100001100100001010100001000001000011000001010000001010000111000011011111100010000000    1 faults detected
test  106: 1000110110010100000101110111000001011000000110001001011101101000001011011110001010111110110001001001011101010001011100110000010101010111000110101110001110001110101101110000010001000100110101101110111011100011000111 000111111111101111100001000000000000011001011111101110111011001000000001001000000000000110100011000001000000000000000000000000000010000000001111100011100101010010110000001010001001000001110110001101100100110001111011000010000000    6 faults detected
test  107: 1010001010000110011101110000000101110000101110011111111101001010011011010001100010001010110111001000111111000001000010111000111110101110100011100010010010000101001101110100001101011100111111110011100011010100000010 100011111111011010000100100000000001100111011101100001000101101000000001101000000000001001001110100010000111101111010000000000000010000000001100011100000100110010110000001000100001010001110001000100000001011001101011000000000000    3 faults detected
test  108: 0111001101101001101100110011010010101101010000001000010110011110101000111110101010011111100011110001000110110111111100100010010100111010011100111110011111010100110011010110011001111101001111110010110100010111001000 010110111111001111001110000000000000000111011010100011001110110100100100110100000000000001111100100011000000101110101000000000000000000000001100111101000011011001100000000001000110001001110011000000011001110000111011100000000000    1 faults detected
test  109: 0111101100001111100101110100111100111000011010000010100110011011010011110111100000011010010100100001111000110011110111101100101000100011111100001010101101111111111011001111100100110001001100101100101110001010001111 101001111001001100101111100000000000011111010111111011101110110100111100110110111011110011100001000001100110000000000100100000000000011111111110100001000100010101110001000011100010011001010101000110111000111011101110100001000100    3 faults detected
test  110: 1101001110101111010111111100101010010111000110101111011110111000000111101000000101000010011101101111010010100110101110000000011100100110111100100010101000000001110110000010000000100110100110001000100101001001001000 111011111111101111100001100000000000000101011011110011001111011100000001011101011111110001110101000011100100000000000100100000000011101111111111100011000011000000010001001010100100001001110110001100101101101011000111000000000000    3 faults detected
test  111: 0000010011000011000001001010110000001010011010110100110000110100101100000101001011101111010000100110001010001101100011101010011110101111010101100100101110001110111000110000100011000001010101000110000000111011100000 110011111111100000001100100000000101111110010101100100010010001010111110001010000100101100011111100001001110000000000000100000000001000000101110100001000101101101010000001000100011000001110110001010110100000010111011100000000000    6 faults detected
test  112: 1001011011101101010010010100101101101110100110100110111100101000110010010010010111011100111010001000111111100011010111101010110111111100001110001100011101010011100011110111101111000101100110011011110001101010011100 010111111001001101011000000010011100011111010101100101010111001100100001001111011101110101010110100010000000000000000010000000000001101101110111100011000100110110110001000000000110000001010000001000101101001101010001000100000000    4 faults detected
test  113: 0000010000011001001010101110100101111011110101100001100000011001111011110000100001100101111100100101110100110110111101011000110001111111011000010111101000001101111101011110110010000110111000001000101111000100001010 110101101011100101100000000000000001111110000111100100010010000010000110000010000000100100000001000011100100000000000000100000000010000000101111100011100110010101010101101000010001011001110110101100100010101100001110000000000000    1 faults detected
test  114: 1111110001111000001110100110111100010011110001101000101111110010000000111000000011001110110101011011101000000101000000011110110011111101010001101011110011101000110001001111011000000100011011100010000101011010010101 011010111111100101111000000000000000000100011111101100110011110110111101110111110001110110011101000011001100000000000000100000000000111001110111100011000100001010100100001000010111001101010010111100110010001001101010000000000000    5 faults detected
test  115: 1100111100110011111101110110000001010101101110111010010100011001101001000100100011001101001101100000111101010010100110011001110101101000011011011000001000111100001100011011000110010111000011100010110011011011001110 000101111111011110101010100000000001111100011101101111111101010000100101010000000000000111101111000010100010000000000100000000000000000000001111100011000100110001110101100101100001001001010100100100111111101110001010000000001000    4 faults detected
test  116: 0010001110110000000000011101011001011000110101101010101111110111101011000111101110111010011101001111101111101101010110000110100100110101100100110000010000010110110101001100001011010010010000101011101101000100001000 111011011111101001000101000000000000000111011110100011001110101000100100101010110000001001110001100010000100000000000000000000000010011000001110100001000100001010010001000010000101001001110010000110110110110011000010000000000000    1 faults detected
test  117: 0110110000110101011111110000111000011011100001111010110101110101011011011101011001010000000111000111110101001101011110101001110001010101100010001011111000010001101011100100001100010000110111101110010001111011100001 011010111011000101001001000000000000011110011101101100110010110010111100110010111100110110010111100001001000000000000000000000000001011100111111100011010110000011010101000010000010000001110000000111100100100111101101000100000000    2 faults detected
test  118: 1000000100101100101101001000010001001001000010110111111111001111100011110001011100001000010001101111011111001000010001110011100100111010101110001011010110010010111111010011000100110111101011111111101111111000111010 010111111111100101111110000000000001111111011101100010001011000010000001000010000000000000100000000000000100000000000100000000000000000000000111100001100101000000010000000001000000001001010100000000101011110111110101000100000000    2 faults detected
test  119: 1101110011101000100111000001000100101011111111000010011101001000111001111111000100101010001101011101000111011001000000110101011111010001000110001011010101011001000110111101110010100110101101001000010100000000110001 010111111111010101100111000000000000011111000111101100110001011111100001011110000000000110010101000011101000000000000000000000000010000000001110100001100111011010000001000011000100000001010110001001101000011011000110100000000000    1 faults detected
test  120: 0111000010011001001000001000011110001011011001011111100111010110110011101001001010001011001101011001111010100010101000001111100101111110010001010011110000100100111010100010011011001101111011010110110010100000110011 111011101111001010000000000000000000011111011101100000000010111100011100111100101001001000001110100001000010000000000000100000000010010101001110100011100100010010100001001000000010000001110010001100000011110010001011100000000000    2 faults detected
test  121: 1000001111001000010011010100010000000000111110100111100010111001011111011110100110001010101000011001110111010110100011000100100101110011110111101101011100010100111101010100101110011111110111110001100110000110110101 000110111111111001001011000000000001100111110111100011001101001001011111001010000000001001101100100010100100000000000100000000000000000000001111100011100110010110100001000011000001001001100000000000000100111001010011100000000001    2 faults detected
test  122: 0000010101001010101011011111111100101111111010110110000110111000110010111111110000100111110110010001100010000000111101101111000111000001100110110111111001010100110011101110111000100001010001001110111000001111110101 101011101111011001011011100000000000000100000110110110011000000000100100000011000011101100110011100001000000000000000100100000000000100011100111100011000110011111100101000011110110010001110011101111110110011000101100100000000000    3 faults detected
test  123: 1100000011001011011101100111010000101101111000010100010111100100011010100111011000001001011001110110110111110100110010110110000010001101010111010001001110001101000110001011110000000000111100010011010100011000010110 101011111111100111011000100000000001111110000101100000000011011010100101011000000000000000011100100010001000000000000100000000000000000000000110100011100110100001000100001000110100001001010110101011100000010110011100100000000000    2 faults detected
test  124: 0100100000100010101111010110100000111000111000110001001111011011001010111010011110010110010011110011100001101111001001111111100101000001100000111111101110011000111000110000111110100101100100101000111100011110111100 010011011111010011010011100000000001111010000110101000100000010010000100010000010000011010010001100011100000000000000101100000000010001000010110100011100110001001100100000011110011000001110000101101101100110011110001100000000000    2 faults detected
test  125: 0101101111111011000010010001100101100111001010011011000011101000010000111110101111111000011111110001100000000110111101001010001100000101011001110010000000111101111000110010111110101101000110111010010000100110111000 110111111011000010001101100000000000011111000100111011101110011110000110011100011111011011110110100011001011111110011111100000000001001111011100111000000110011001100001000010100011000001110000001101011100100111000011100000000000    2 faults detected
test  126: 1111110001101101100101001110010100110001101100101010011010100010010011011000111011100011111111101111001110000111011000101011001011111101111000000101010010101000001100001011000110011000110000100000011010101100101010 001010111011010111010000000000000001100010011011101100110001110110100011110100000000000110001011100001000100000000000100000000000010000000000110100011100001001000010100101100000001011001010100100110000110000000001000100000000000    2 faults detected
test  127: 0100100100110100111011111111010111100011010111000001000010101101000011100100111100101011111000111111001001110110000000101011101101001001011111100001111111000000011010001010101011011011011111100011110001001100011010 101000111111000101000110100000000001100111010101101010101010010010000110010010000000000010111111100010000000000000000000100000000010000000001111100001100101001100000000001001100010011001110010010111010000110000010100000000010000    2 faults detected
test  128: 0111001011000010110001101111100100101010111010110010000111000100111010000101100010100000001011101011001110011010001101110111100010111011000011111011110010001000110011011100011110110000100111100101011001100101001010 000101111111110110100110011001110001100110011100100001000100111110100100111100111101000001011011000000101010000000000110000000000011011101001111100001100101001000110100001001010110011001110000100110101100011111011010000000000000   10 faults detected
test  129: 1101110111101000000000000010010011111011001111100101101011000001110011010000001110111111110111001111101011100100011000110010001010001101100010010000011011110000110001100000011001000011100000010001010000011110001100 101011111111000111000000100000000001111101011111101110111011011110000111011100000000000110111110100010101000000000000000100000000010000000001111100011000100001010010000000000100111010001110011001111101110010000100011100000000000    3 faults detected
test  130: 0001101110000010111011010111000110111000001110011011000010111100111101111101011001001111001111001100101100111110010101101011010001000010011111101001101100001010110110000001111111011101000111000000110011101001101001 001001111101001001011011100000000000011111000101101011101110001100000110001110000000001011101111100011100001111011000010100000000000000000000100110110100100111010010001001011100100011001010000000101011101100010001101000000000000    1 faults detected
test  131: 0010000111101001111100111100001111011111110100110010000011011111111010010110101001010110000101111001011110011110111101101101100001110010101110100111101111010111110110000100111010100101100100111111011010111111001111 101001001001010111011011000000000000000100000111110010001000101010100110101001011111000000100010100000001000000000000100000000000001101111000111100011000101010000100100100011010100001001110010101000101101100011101111100000000000    2 faults detected
test  132: 0100001111101010110001111011001001010100000000100001111000010110010011110111001010000101111110101010110011111110100001100000011100000011011000111000101101111000110000111010000000100110110111110010001010001010010111 010110011111011011111111111101111100000001011010110011001110011010000010011011010111101001101010100011001100000000000100100000000011101011101111100011100010100100110001000011100111000001110110001001100100110100001010100000000000    3 faults detected
test  133: 0011101000010100000000110001011110101000001100011111001111100101000101101100000001010000001111001110110111001101111000111010111100110001001110001000110001101111110001010100100011000110100111111100011110011101111001 010111011011101111111011010100011100000111010101101001100110100110000100100100100000010011000000000001101010000000000010000000000000010000010110100011100110100010010001001011000111011001110110011100101100101111001111100100000000    8 faults detected
test  134: 0011101011001010111110011010111001011011101111000111001000110000110001100110001101111110011100010100011100100111001001000000001000111010000111001000101110000011100001011001101000101111001001110010111110100001110010 000110111101110100001110000000000001100000010111111001100100101110000110101111101111110011001000100010100010000000000000100000000001110111111111100001100101110111000100101101000111001001010010101100011011100011000110100000000000    2 faults detected
test  135: 0010001001010001000111011111101100111111110000100110111111000010011001110111110001011101110011111010001101010100000100010010111001110001010101100111101101101110001100101111110000100010000111110010001011011001100101 111001111111111001110011000000000000011110000111100001000100100000111000100011101000001001001010000011001100000000000110000000000010110100000111100011000101101000100101001011010001000001010110101110111100101100111100000000000000    2 faults detected
test  136: 1001111101010110111011110011011001111010110001000110100010010100110100101100110111001011001000100001010011001101111001010100001100110101111011100001011101001011111101011101001000010001011101110000110010000111000010 100110111011111111101101000000000001111110011011111111111101000100100111000101100110110111101110000011100000000000000000100000000001110010111110100001000011010101110101001010010001001001010011100010110000101010010000100000010000    1 faults detected
test  137: 0110110110100110111110111100110011111100101010001101111010100111111100101111111000110010110010110100000110011011010101101011111011010110111101111000001001010100100100001000101010010100000000011010001010111111100111 011001011111001111101001000000000000000001010010111110111010111000000010111000110110110110100010000011001100000000000101000000000001011010111111100011101011111101000101000010000101111001110010000101111111010001111100100000000000    3 faults detected
test  138: 1110000010101010001101000101100110110011111001101101001011001110100110001101110000001100100111000000001110111010111111110100101011100101011010100011011101010111001001101110011000101001000110100100110101011010100110 101011101011110001100001100000000001111000011011100000000001111010000111111011110100001000011101000001100001001111110010000000000011111000001111011011100001111011110101000010110011000001110011101010011100011101101100000000000000    4 faults detected
test  139: 0110010011110100110000110101010000000111001000110101111001011000000111010101011011111011000100111111101111101010010010010100000000111100011011100001111101010110110001001011110110001000110101101001101100000000111011 101011111101001110110000000000000000000001000001100100010010111000011010111000000000000100010001000010100110000000000100000000000010000000000111100011100000001100000001000000000111001001010100011010000101100010101000100000000000    4 faults detected
test  140: 0111010011011110111010000010110101000010100001000110100011001110110000010001000111101101001101111111111001111111101010100011001101110010101000001101001101101100011100010101001000101000110101111010010000100011111010 100111011111000010100011000000000001100111011111100100010010111110100110111100110101101100010110000011001010000000000000100000000011011001101110100011010100000000000101001011000001001001010010001110000101101110000011100001000000    1 faults detected
test  141: 0011011111110100010011000101010110110100000000001010110111000111010110110000111011010110010110101011011110100111100011010110110001010001100110001111000001100110100001100110100101100010110111000011001000111101110000 011011101101100100011111000000000000000100010101100111011110101110111100101110000000000101111011100010001110000000000010000000000000000000000111100001000101000100110001001011000111000001110100001011100100100011101001100000000000    2 faults detected
test  142: 1011011101101101010000100010011100011011011111011101100101110101010101110011110001101101010111000001110010100010010011101000110000001100100011001110000100000110011100010001111011111010010010100100001111001011101011 100111111111110100001100100000000001111111000111100111011101100110011101100111011101010101101001100001101110000000000010100000000001101101011110100011000110010011110001001000100001001001010010000011010111101110101101000000000000    3 faults detected
test  143: 0011110010010010101100000010110111111011111011000110100000011010101100011111110110110110101101000100000100101100111100101101001011010010001000101010011010000011011011110001000111000000100110001000101111001001001000 010110111011000101011111000000000001111011011111101100110010101110100110101110100101110110000001100011100100000000000010100000000001010001110110100001100111111011010000001011000010010001010100001111101101011001000001000000000000    3 faults detected
test  144: 1101011111111101110110010000100001101101001011101100001101001111101010011010010101010011010110111101100101100110111101101111101000000011101010001010011110010101111011100101001011101000101100100001001011000011010101 011010111011010010101011100000000001111101011101110111011101011110100101011101011111101101101011000010101111101111001000000000000001101111101101011011000110011100000000000011100010010001010010001111001000101010100101000100000000    4 faults detected
test  145: 1000110001100001111001110110001011001010010011110011101110011101100010100010101001000001111010100111111110010011111011111110101001111101001110001001011110111111110001000101001010101010100110111111000110111100000101 011011111001101101101000000000000001100001011101111100110011000000000101000011011110000110000100000000001100000000000000000000000001101110001111100011100100000101010000000000000111001001010010001010001100100100011111100000000000    2 faults detected
test  146: 1111000001101100011101011110110000010001001111101010110100010011011110111000011110010110010011111010100110111101110100100110110101111110000110001011011100111000010000100011001101110010100000110111110101111111000001 011010101011110011100000000000000000000000011101100000000001110110111101110101110001001000011100000000000000000000000000000000000010111001001111100011100110101000100001000000000111000001010000000010101111110011110001000100000000    1 faults detected
test  147: 0010011101101000001010000000101010100100110110101101101011110110101101010110110101011100011101011000011011011011011010110100001010000000011000000011000111011011101011010010110010101010111001100101111010010001000111 000111111001101001101011100000000001111110000011110111011110100000011110100011111011101101101011000000100000000000000101100000000000111111101111100011100001110010100100100011110010001001110110101011000011001111000101100000000000    2 faults detected
test  148: 1000100000000100100001110001110100000111101101111101000101101100101001111010110101100000001111110101111000010000101000110000110010011001100111110110110101111000100100110111001001010111110111111011011110101011010000 100101111111011001010010000100100000000111011100101000100001000000000101000011000000011010000000100010001000000000000000100000000010100000010110100011000100010001000001000001000101000001010010000101100100001111000101100000000000    4 faults detected
test  149: 1101110000111101000110000000101111000011111000011010010100101110010010011011000110101100010000110100101001011111000101010001011010001010000011100111010011110010101100111111100000000101110101010100111010010000010110 100010011101000000111110100000000000000000010101101100110011010110100101010111111001111110001010000001100010000000000100100000000000111101110111100001100100111101000100000001110001000001010110101101100101011111110010100000010000    2 faults detected
test  150: 1110000010010010100000100111100010001101101010011100011100101101110010001111000111011101011000010001111101110000000111110000011001100110001001101110111111110011010011010011011110101000110110101111111110110100110101 010101111111010111111001100000000000000111111101100000000001111010100001111001110100000000000001000000000000000000000100000000000001111000000110100011101100010111100100000010100110001001010000001110000101101110010011100000000000    2 faults detected
test  151: 1000000001111010111000110101110110000000010111000000110110101001110110001011101110101000111101001001000101110101010010000101000000111010000011101011010000111010110101000110010011010100010000101010111100000101011001 001010111111110010111110000000000000000101011101100000000001000010111101000001000000001000010001000011000010000000000000000000000000100000000111100001000111011010110001000001000101001001110110000100110111110101000011100000000001    1 faults detected
test  152: 1000010001101011110101011000010010101000001011100101000100011011110110001011101111000011000100101111100111000000110101110110000011010001011011111001101110101111111001000110101111111000110101111101101010011010101101 001011111011101000000111000000000000000001110000100100010011000000000101000010000000001100000010100000100111111010000000000000000010000000001111010001100010001100010000001011000011001001110000000011000100000010100011100000000000    2 faults detected
test  153: 0000101111100010111011000010000000011000111000111001100001110010000001110000110111101111110101011011001101000101001111001010001001111110001010001100011010000010101101111001100100111100111110101101101101010111110001 010010111111011010001000000000000001100110010101101011101100001000011110001000000000001011110001100000100110000000000100000000000000000000001110100011000101001010100100001000010001000001010100100100000001101000100000000100000000    3 faults detected
test  154: 0011111011110111001010010110111111101110111011010111011001100010011111010101110101010111101111101000011111010111111010000100001011111110001111111011111110001001001101101111011100001110111101011011110011101000100110 001000101111011100100000000000000001111000011100101101110100101100000010101111111101110111000110000010000011001010000000000000000011111101111101011111100101110000110100001000010001000001010001101000000001001000000100000000000000    4 faults detected
test  155: 1011011000101011111101001101110110101110110010111011010011101111101110000000001100001101010010001010100111000110001100001000111101110110100110110111111010001110111100000011000110010010110110011110110110010011000110 101010111101000001101101000000000001111010011110100101010111100110000111100111101001101101000100000001000000000000000111000000000000110101101110100001100110101110110100001010010001011001000100100110100101110110110111100000000000    2 faults detected
test  156: 1011100100000000111010001001110101111111001110001110000110011011010111110101011010010011111010100010110001100110110100100101100001000111101011100111011110110000010000101011111001000100010011111111001101001001101101 101010101011111011010101100000000000011011000101111010101001100100100101100101100011011010110000100000001100000000000010100000000010110011010110100001100110100101110000000010100111000001010010001001110110110000011000000000000000    3 faults detected
test  157: 0110110100111001101011100000010000100011001010111010111100100100101110100101001011101100100100001111010111011001100111000000001010011111010110101110010111001011111111000101011110001011011101001000101111000011001001 001011011111101011000100000000000001111011011111101110111010110000111000110000000000001110100001100011100100101111100100000000000010000000001110110000100111000110010000001000000000001001010000001011010000000101101011000010000000    2 faults detected
test  158: 1110001001111010110100101111100011010101100110111011010101011011100001110011000100100111000100000011010010001101111001011010100010000101101101100011100100001101111011100100111110001110100000111010111110001001111010 111011101011110001001101100000000000000010000101100001000101110010000101110011111000001001000011100011000000000000000101100000000000111100001110100001100111000111110101101110100010000001110000101001001110011010100111100000000000    2 faults detected
test  159: 1110100101101001111000000111111111001010011010011100000111001100101101001000010101001100101100010100001011011111100101010111100001011101011110101100101010110100000100001101000101111011011011110001010000101010000101 001001111111110100010100000000000001100001011011111010101001110010100101110011111111010010111110100010101010000000000000100000000011111111010111100001100001111111000000000000000101001001010100000111010010101101000100100010000000    2 faults detected
test  160: 0110001000000001100011100000111101110111101011111000001110101000010010010110111100001100001001101010101100001001111010100000010110110000101110011100110110010100011000110111101010100111000110000010000100010000100101 000011111011011000110011000001011000011101010111110001000100110000100100110010111010001001011101000011001110000000000010100000000010011110000111100011001100101000110100000011000011000001010010001100111101010111010101100000000000    4 faults detected
test  161: 1110101011011010011101110000010000001110011100001100110011100001101111111100011110000111101010011110010111110010000000111101011011110011000110001001011010100101000100011010111111001110100010011111011110011001100110 010111111111110100011011000000000001111101000101101001100101111010111111111010000000000011000000100000001010000000000010000000000000000000000111100011000111100110000000001011000101001001110000001100001110010000010000100100000000    4 faults detected
test  162: 1111010000101001011111101111100100111001111011010000010110100000001001111110010000000001111011101100100100000111111110001010111110100100110110111010011101011101001101100001111000100101110000111011000100011011010011 001010111111100101010001100000000001100110000110100100010011110110100101110111110001100100010100100010001100000000000000100000000010111001100110100011000110111000010101000010110001010011010011101100100111011100011101100000000000    1 faults detected
test  163: 0110001110000110100111111100001010010100101101101001110110100001000010101101010110011001100111001101110111111000101100010110110010010100011000010110111100110001110001101100011110000111001000000111101001110110000010 111001011111101010000001000000000001100100011011110011001110111000011100111000000010111001111011100001100110000000000000000000000010000010111111100011000010010010010101100110000111000001110000101001111011011100100000000000000000    2 faults detected
test  164: 0111000001010100110111100010101101110001010000111101111001110011000111001011010110011101100010110110111010101101110101000110010111111100111111000001011010110101111001100101100110011001010110000100010001111011011001 101010111011000110011000000000000000000110010011110000000010110110000010110101110111010000011111100001101010000000000110100000000001111011010111100011100000100101000000000000000011010001010100000110010101011100110001000000000000    2 faults detected
test  165: 0110000110101001011001000100111110011101110010100110111000010001101010111011110101111010011101011100101000000011111100101010000001100010101011011010110011000100111110100000101100000000110110011101100100001000011111 001011111111001111101111100000000001100000010111110010001010111000111010111000111111000000110100000000100100000000000100100000000001011111001111100001100100111010000100001011110000000001110000101110100101101011000101100000001000    1 faults detected
test  166: 0110010011010010111111000111100011111011001101100001001011001011000001011101100001010000101011100010000111110000110001100101000100100100101010001001010100011101100100000000001000001101101111001100110001111011110111 011011111011001000110001100000000000011111011111100100010010111000000110111010110100101100010111000001100011101111001000000000000011011000100101111010000111101001110001000010100101001001110010001000001001101101011111000100000000    1 faults detected
test  167: 0000100011010111011001010000001010101010100011000100110110101111111011111110001001111110010001101011111111101110001111000011001000110001001110001000011000011000110101001001011010001111001110101011100101100100000101 011011011111110100100011000000000000000111011111101000100000001010111100001011101100110010010101000010000110000000000000000000000011110100111110100011110100000000110101000011000101011001010010001100011000100011111110000100000000    1 faults detected
test  168: 0001100011100001110011010110101010100100001010111010010111000001001101100000010101001110000011101010000101011000011001100011011111010101010101101110111101111110001011111101110010110110010000100000110100011011101011 010001011111111010001001000000000000011111000101111000100000001100100100001101011111011010011101100011100010000000000100000000101101101111011111100011100111101000110001000010000010010001010110000101110110001011110100100000000000   14 faults detected
test  169: 0001111001110010100001101110100110111100110011001100110011011100101000000101000010011101010100000000110101010011010011111010001001110101001010001100110100101100010001110000000000101010010110010000100111111101010110 010001111011110111001101011101110101100110011111101101110100000110111110000100001001110111001100100011100100000000000010000000000000000101111111100001000110110111110101001010010111010001110111101110010100111110101011000100000000    2 faults detected
test  170: 0000111110011000101100011010111100001010100100000101111101010011011000001010100001111101111110111001011111100100111000100101100000100101100000110101011101000001110000011000000000101010111110000000110110100011111001 110110111011100011011001100000000000011110011110111111111110001010011000001000101111111111110000100011100000000000000100011111111101111111110110100011100101010100100101101110100111001001110110101010000000101100001110100000000000    9 faults detected
test  171: 0101010001011101011011100000000010101010011000100111111101110010011100111001001000011111001011111101111101101110011000001011011100101100100010010010000000111100011000010101000010110100100001010100001011110010100101 100111111011001001110100100000000000011111011111100100010010010100011000010110000000001100001010000001101100000000000100000000000010000000000110100001100100010000000001000000100011011001010110000100101111110010011111000000000000    1 faults detected
